Date,Temperature High (C),Temperature Low (C),Temperature Average (C),Sea Surface Temperature (C),Sea Ice (WMO Code),Pressure High (mbar),Pressure Low (mbar),Pressure Average (mbar),Wind Peak (knots),Wind 5-Sec Peak (knots),Wind 2-Min Peak (knots),Wind Average (knots),Wind Peak Direction,Wind 5-Sec Peak Direction,Wind 2-Min Peak Direction,Wind Prevailing Direction,Precipitation Melted (mm),Precipitation Snow (cm),Depth at Snowstake (cm),Sky Coverage (tenths)
1989-05-04,0.5,-2.7,,,,1005.8,992.9,,20.0,,,8.0,360.0,,,NW,0.0,0,,10.0
1989-05-05,2.8,-2.8,,,,993.0,982.0,,42.0,,,22.0,360.0,,,W,T,1,,10.0
1989-05-06,2.2,-3.3,,,,993.5,970.7,,46.0,,,18.0,30.0,,,S,0.0,0,,10.0
1989-05-07,3.9,0.8,,,,987.9,972.7,,40.0,,,15.0,30.0,,,E,0.5,T,,10.0
1989-05-08,3.3,0.8,,,,984.0,971.0,,61.0,,,24.0,30.0,,,N,6.0,0,,10.0
1989-05-09,0.3,-1.3,,,,973.0,971.4,,18.0,,,5.0,310.0,,,NE,0.0,0,,10.0
1989-05-10,-2.8,-5.0,,,,978.8,973.0,,52.0,,,28.0,30.0,,,NE,T,T,,10.0
1989-05-11,-4.2,-6.2,,,,994.1,979.0,,26.0,,,14.0,30.0,,,NE,2.0,2,,8.0
1989-05-12,-2.2,-6.1,,,,1008.4,994.1,,27.0,,,14.0,220.0,,,W,1.0,2,,10.0
1989-05-13,1.1,-6.1,,,,1009.7,1003.7,,46.0,,,25.0,10.0,,,NW,2.8,4,,10.0
1989-05-14,2.2,1.1,,,,1013.1,1008.0,,35.0,,,20.0,10.0,,,NW,0.0,0,,10.0
1989-05-15,4.4,1.7,,,,1010.9,986.9,,45.0,,,30.0,30.0,,,NE,T,0,,10.0
1989-05-16,3.0,0.0,,,,989.4,970.2,,52.0,,,18.0,30.0,,,NE,3.6,1,,10.0
1989-05-17,1.7,-1.4,,,,987.5,978.1,,48.0,,,22.0,10.0,,,NW,T,T,,4.0
1989-05-18,0.3,-2.8,,,,987.6,979.0,,48.0,,,18.0,340.0,,,NW,0.0,0,,10.0
1989-05-19,0.5,-2.8,,,,992.8,981.6,,46.0,,,16.0,40.0,,,NE,2.0,1,,10.0
1989-05-20,2.2,-0.5,,,,989.8,981.9,,44.0,,,16.0,30.0,,,N,0.5,1,,10.0
1989-05-21,2.2,-0.8,,,,987.7,979.0,,65.0,,,30.0,10.0,,,N,2.6,1,,10.0
1989-05-22,0.6,-1.7,,,,980.9,974.0,,39.0,,,20.0,350.0,,,NW,2.6,3,,9.0
1989-05-23,-0.3,-2.8,,,,991.0,979.0,,42.0,,,18.0,20.0,,,NW,0.0,0,,8.0
1989-05-24,0.0,-1.5,,,,991.0,980.6,,47.0,,,22.0,360.0,,,N,T,1,,10.0
1989-05-25,1.1,-5.6,,,,982.8,956.0,,55.0,,,30.0,10.0,,,N,11.8,5,,10.0
1989-05-26,1.0,-3.2,,,,965.0,954.0,,77.0,,,26.0,20.0,,,NW,T,T,,10.0
1989-05-27,1.6,-5.5,,,,969.9,948.0,,66.0,,,30.0,350.0,,,NW,2.0,1,,10.0
1989-05-28,1.1,-4.4,,,,961.5,944.0,,66.0,,,32.0,30.0,,,NW,T,T,,10.0
1989-05-29,-2.2,-6.1,,,,964.3,957.3,,52.0,,,20.0,360.0,,,N,T,T,,10.0
1989-05-30,-1.1,-10.8,,,,972.2,954.9,,44.0,,,20.0,300.0,,,NW,T,T,,8.0
1989-05-31,0.0,-5.5,,,,972.2,949.0,,79.0,,,38.0,30.0,,,NW,0.5,5,,10.0
1989-06-01,-0.2,-4.4,,,,965.8,947.0,,56.0,,,34.0,50.0,,,NW,0.2,2,,10.0
1989-06-02,-1.1,-5.1,,,,971.1,944.1,,58.0,,,30.0,340.0,,,NW,0.9,2,,10.0
1989-06-03,-4.5,-8.2,,,,971.9,965.0,,34.0,,,16.0,310.0,,,NE,10.0,10,,8.0
1989-06-04,-5.0,-6.1,,,,988.0,964.1,,44.0,,,22.0,190.0,,,S,0.3,T,,7.0
1989-06-05,-3.2,-8.5,,,,1001.6,988.0,,20.0,,,12.0,120.0,,,SW,0.0,0,,6.0
1989-06-06,-3.1,-6.4,,,,999.5,994.8,,18.0,,,6.0,240.0,,,E,T,0,,8.0
1989-06-07,-2.2,-4.0,,,,998.9,992.0,,26.0,,,15.0,210.0,,,SW,0.0,0,,6.0
1989-06-08,-2.7,-9.8,,,,1014.3,998.9,,28.0,,,6.0,190.0,,,NW,0.0,0,,6.0
1989-06-09,-0.6,-5.0,,,,1018.0,1014.3,,14.0,,,8.0,330.0,,,N,0.0,0,,9.0
1989-06-10,-0.4,-1.6,,,,1017.0,1005.2,,20.0,,,12.0,330.0,,,N,0.6,2,,10.0
1989-06-11,-0.2,-6.6,,,,1012.0,1005.0,,34.0,,,16.0,230.0,,,SW,0.0,0,,9.0
1989-06-12,-0.8,-8.3,,,,1023.6,1012.0,,34.0,,,10.0,40.0,,,E,0.0,0,,8.0
1989-06-13,-1.3,-5.5,,,,1023.9,1012.0,,34.0,,,14.0,60.0,,,NE,T,T,,8.0
1989-06-14,0.8,-0.5,,,,1012.0,994.8,,28.0,,,8.0,60.0,,,SE,0.5,1,,10.0
1989-06-15,4.4,1.0,,,,994.8,978.5,,45.0,,,16.0,30.0,,,NE,0.0,0,,9.0
1989-06-16,1.6,0.6,,,,979.5,972.3,,34.0,,,10.0,40.0,,,NE,0.0,0,,9.0
1989-06-17,1.7,-0.5,,,,972.2,966.5,,24.0,,,10.0,70.0,,,E,T,T,,10.0
1989-06-18,1.1,-1.0,,,,976.3,967.1,,34.0,,,12.0,60.0,,,E,0.1,T,,9.0
1989-06-19,-1.8,-3.9,,,,983.4,976.3,,34.0,,,8.0,30.0,,,SE,2.6,6,,9.0
1989-06-20,1.7,-2.3,,,,980.8,957.9,,56.0,,,30.0,30.0,,,NE,1.1,T,,10.0
1989-06-21,2.0,-1.2,,,,971.2,962.1,,42.0,,,18.0,40.0,,,NE,1.0,2,,10.0
1989-06-22,-0.5,-3.3,,,,983.0,971.2,,27.0,,,8.0,30.0,,,NE,2.0,2,,10.0
1989-06-23,5.0,-5.0,,,,982.5,975.8,,52.0,,,18.0,20.0,,,NW,7.2,8,,10.0
1989-06-24,0.3,-0.5,,,,979.0,964.9,,44.0,,,24.0,350.0,,,N,36.8,36,,10.0
1989-06-25,1.1,-6.3,,,,984.8,962.7,,50.0,,,20.0,240.0,,,NW,2.0,0,,10.0
1989-06-26,-3.2,-7.2,,,,973.9,955.0,,46.0,,,20.0,140.0,,,SE,2.5,3,,8.0
1989-06-27,-0.9,-6.1,,,,976.3,967.1,,34.0,,,18.0,20.0,,,N,0.0,0,,10.0
1989-06-28,1.1,-2.8,,,,975.1,958.6,,42.0,,,14.0,30.0,,,E,0.0,0,,10.0
1989-06-29,-2.1,-5.6,,,,963.5,958.0,,31.0,,,12.0,240.0,,,SW,0.6,1,,10.0
1989-06-30,-1.0,-3.3,,,,989.1,963.5,,29.0,,,10.0,70.0,,,E,0.2,T,,9.0
1989-07-01,0.6,-5.5,,,,989.5,964.9,,58.0,,,20.0,360.0,,,NE,2.0,2,,10.0
1989-07-02,0.0,-1.7,,,,972.4,949.7,,60.0,,,30.0,40.0,,,N,T,T,,10.0
1989-07-03,-1.6,-4.4,,,,989.0,972.4,,35.0,,,10.0,220.0,,,SW,0.0,0,,8.0
1989-07-04,0.0,-3.9,,,,1001.1,989.0,,33.0,,,12.0,30.0,,,NW,0.3,T,,10.0
1989-07-05,1.6,-1.1,,,,996.2,990.9,,36.0,,,12.0,20.0,,,NE,6.8,7,,10.0
1989-07-06,2.2,-0.5,,,,991.0,984.7,,27.0,,,12.0,360.0,,,N,1.0,1,,10.0
1989-07-07,1.6,0.0,,,,999.9,980.5,,47.0,,,18.0,30.0,,,N,0.3,T,,10.0
1989-07-08,1.6,-1.6,,,,998.8,983.1,,30.0,,,18.0,300.0,,,NW,T,T,,10.0
1989-07-09,0.6,-1.7,,,,1002.8,998.0,,24.0,,,14.0,10.0,,,N,1.2,1,,9.0
1989-07-10,2.8,-1.6,,,,1002.1,976.0,,50.0,,,25.0,60.0,,,NE,0.5,1,,10.0
1989-07-11,2.7,-0.5,,,,977.2,970.9,,64.0,,,32.0,350.0,,,N,0.3,0,,10.0
1989-07-12,1.6,-0.6,,,,973.4,969.6,,62.0,,,30.0,330.0,,,N,0.2,T,,10.0
1989-07-13,-0.5,-3.9,,,,984.8,972.8,,38.0,,,20.0,300.0,,,W,T,T,,10.0
1989-07-14,-0.5,-5.2,,,,993.5,982.9,,43.0,,,23.0,10.0,,,N,0.0,0,,10.0
1989-07-15,1.1,-1.6,,,,992.7,966.0,,54.0,,,30.0,60.0,,,NE,2.0,2,,10.0
1989-07-16,0.5,-5.0,,,,983.0,966.1,,58.0,,,18.0,30.0,,,N,0.3,T,,10.0
1989-07-17,1.1,-3.9,,,,991.4,976.6,,54.0,,,10.0,10.0,,,NE,T,T,,9.0
1989-07-18,-0.4,-6.1,,,,1003.1,991.1,,33.0,,,12.0,30.0,,,E,0.0,0,,8.0
1989-07-19,1.7,-1.1,,,,1002.5,998.2,,52.0,,,25.0,30.0,,,NE,T,T,,10.0
1989-07-20,2.2,-5.6,,,,1002.5,987.8,,54.0,,,30.0,20.0,,,NW,1.0,1,,8.0
1989-07-21,0.0,-4.4,,,,1002.3,996.5,,40.0,,,25.0,340.0,,,N,17.0,17,,10.0
1989-07-22,-0.6,-3.3,,,,998.0,977.6,,53.0,,,22.0,20.0,,,N,3.5,4,,10.0
1989-07-23,-0.5,-6.6,,,,1002.5,981.0,,52.0,,,20.0,230.0,,,SW,T,T,,10.0
1989-07-24,-2.1,-4.4,,,,1014.2,1002.5,,24.0,,,6.0,210.0,,,SW,0.0,0,,10.0
1989-07-25,-2.7,-6.7,,,,1015.5,1014.0,,12.0,,,5.0,210.0,,,W,0.1,T,,8.0
1989-07-26,-3.4,-8.9,,,,1016.0,1013.8,,10.0,,,2.0,20.0,,,E,T,T,,7.0
1989-07-27,0.0,-6.9,,,,1013.8,1006.2,,12.0,,,4.0,30.0,,,NE,0.0,0,,10.0
1989-07-28,0.0,-1.1,,,,1006.1,1000.3,,13.0,,,4.0,360.0,,,N,2.5,3,,10.0
1989-07-29,0.0,-3.3,,,,1003.5,996.9,,18.0,,,4.0,350.0,,,NW,1.8,2,,10.0
1989-07-30,-1.9,-3.6,,,,1008.2,1002.8,,30.0,,,4.0,250.0,,,NW,T,T,,10.0
1989-07-31,-1.2,-3.9,,,,1010.9,1008.2,,25.0,,,8.0,360.0,,,NW,0.0,0,,10.0
1989-08-01,-1.0,-3.9,,,,1008.2,989.0,,77.0,,,20.0,20.0,,,NW,3.3,3,,10.0
1989-08-02,-3.2,-7.8,,,,999.5,994.2,,28.0,,,10.0,270.0,,,SW,0.0,0,,9.0
1989-08-03,1.6,-4.4,,,,998.0,992.1,,47.0,,,26.0,30.0,,,N,0.1,T,,10.0
1989-08-04,2.2,0.0,,,,1000.5,993.2,,42.0,,,18.0,360.0,,,N,0.1,T,,9.0
1989-08-05,2.8,0.0,,,,998.6,980.7,,42.0,,,10.0,60.0,,,E,2.0,2,,10.0
1989-08-06,0.0,-3.8,,,,992.8,982.0,,33.0,,,10.0,20.0,,,NW,T,T,,10.0
1989-08-07,0.5,-4.1,,,,1013.5,992.5,,25.0,,,6.0,30.0,,,NW,3.9,4,,10.0
1989-08-08,1.6,-5.0,,,,1014.9,1000.5,,58.0,,,24.0,30.0,,,NE,T,T,,10.0
1989-08-09,-0.2,-0.8,,,,1000.2,996.0,,44.0,,,20.0,20.0,,,NE,1.8,2,,10.0
1989-08-10,1.7,-2.8,,,,1012.9,999.4,,10.0,,,2.0,140.0,,,E,2.1,2,,7.0
1989-08-11,-1.6,-7.2,,,,1015.5,1012.9,,12.0,,,4.0,360.0,,,NE,0.0,0,,7.0
1989-08-12,-3.3,-7.2,,,,1014.1,1001.1,,12.0,,,6.0,90.0,,,NE,0.0,0,,8.0
1989-08-13,1.2,-5.0,,,,1001.1,991.2,,36.0,,,8.0,20.0,,,NW,0.5,1,,9.0
1989-08-14,1.6,-1.1,,,,993.6,988.5,,40.0,,,8.0,40.0,,,SE,2.6,2,,10.0
1989-08-15,-0.6,-1.6,,,,995.0,990.1,,18.0,,,4.0,150.0,,,N,1.8,2,,10.0
1989-08-16,0.3,-2.2,,,,994.0,989.5,,19.0,,,4.0,90.0,,,N,3.3,3,,9.0
1989-08-17,-2.0,-5.0,,,,989.9,987.0,,16.0,,,4.0,210.0,,,W,0.2,T,,10.0
1989-08-18,-2.2,-11.1,,,,996.8,988.1,,38.0,,,15.0,40.0,,,W,T,T,,8.0
1989-08-19,-3.3,-8.3,,,,998.0,987.1,,46.0,,,15.0,20.0,,,W,T,T,,10.0
1989-08-20,-1.6,-6.6,,,,1001.8,993.9,,40.0,,,15.0,270.0,,,NW,T,T,,9.0
1989-08-21,0.0,-4.4,,,,1000.5,996.9,,48.0,,,20.0,20.0,,,N,4.2,4,,10.0
1989-08-22,1.4,-1.1,,,,1009.1,1000.5,,38.0,,,18.0,20.0,,,N,0.4,1,,6.0
1989-08-23,3.3,-1.1,,,,1010.8,1006.2,,48.0,,,14.0,30.0,,,E,0.0,0,,6.0
1989-08-24,0.0,-1.0,,,,1009.3,1001.5,,40.0,,,8.0,30.0,,,NE,T,T,,10.0
1989-08-25,-1.1,-2.7,,,,1001.4,994.0,,16.0,,,2.0,30.0,,,N,8.7,6,,9.0
1989-08-26,-0.5,-2.2,,,,1003.1,994.6,,25.0,,,6.0,30.0,,,E,T,T,,10.0
1989-08-27,0.0,-2.0,,,,1007.0,1003.1,,40.0,,,4.0,30.0,,,SW,1.0,1,,10.0
1989-08-28,-2.2,-7.2,,,,1004.2,994.5,,11.0,,,6.0,360.0,,,NE,T,T,,9.0
1989-08-29,-4.1,-9.7,,,,994.9,993.0,,12.0,,,6.0,20.0,,,NE,0.0,0,,6.0
1989-08-30,-2.7,-6.6,,,,997.9,993.3,,24.0,,,10.0,100.0,,,E,3.5,4,,9.0
1989-08-31,-2.8,-8.3,,,,999.1,987.2,,40.0,,,14.0,70.0,,,E,0.0,0,,7.0
1989-09-01,3.3,-4.4,,,,990.9,987.2,,40.0,,,20.0,80.0,,,E,T,T,,8.0
1989-09-02,3.3,-2.8,,,,989.9,987.5,,26.0,,,10.0,70.0,,,W,0.0,0,,9.0
1989-09-03,-2.7,-6.1,,,,987.5,984.8,,17.0,,,8.0,30.0,,,NE,T,T,,9.0
1989-09-04,-3.5,-6.7,,,,985.1,983.3,,12.0,,,8.0,30.0,,,NE,T,T,,8.0
1989-09-05,-1.6,-6.1,,,,983.5,981.7,,10.0,,,6.0,30.0,,,NE,1.5,2,,9.0
1989-09-06,-3.0,-6.1,,,,984.8,979.0,,19.0,,,8.0,50.0,,,SE,1.1,1,,9.0
1989-09-07,-4.8,-8.3,,,,992.0,983.9,,23.0,,,12.0,100.0,,,E,0.0,0,,8.0
1989-09-08,-1.6,-10.0,,,,1002.0,992.1,,17.0,,,12.0,100.0,,,SE,0.0,0,,2.0
1989-09-09,-4.1,-8.3,,,,1005.8,1002.0,,15.0,,,8.0,220.0,,,SW,T,T,,9.0
1989-09-10,0.0,-5.6,,,,1005.9,996.2,,32.0,,,12.0,10.0,,,NW,0.8,1,,10.0
1989-09-11,0.8,-0.5,,,,996.2,975.2,,49.0,,,30.0,30.0,,,N,5.3,5,,10.0
1989-09-12,1.7,-3.9,,,,975.1,955.1,,61.0,,,35.0,10.0,,,N,1.0,T,,10.0
1989-09-13,1.3,-8.3,,,,980.0,965.2,,42.0,,,10.0,250.0,,,SW,T,T,,9.0
1989-09-14,1.7,-4.4,,,,988.9,979.9,,38.0,,,20.0,20.0,,,N,5.0,5,,10.0
1989-09-15,1.7,-2.2,,,,996.5,980.0,,40.0,,,20.0,10.0,,,N,4.0,4,,9.0
1989-09-16,1.9,-6.1,,,,998.5,989.6,,64.0,,,18.0,30.0,,,NE,T,T,,9.0
1989-09-17,3.9,-0.5,,,,996.7,976.0,,52.0,,,24.0,30.0,,,NE,T,0,,10.0
1989-09-18,3.3,-2.7,,,,977.8,972.9,,20.0,,,6.0,240.0,,,W,14.2,14,,10.0
1989-09-19,-0.2,-3.3,,,,986.3,974.0,,22.0,,,8.0,240.0,,,W,T,T,,10.0
1989-09-20,0.0,-6.1,,,,988.5,964.2,,60.0,,,20.0,40.0,,,N,0.5,1,,10.0
1989-09-21,-0.5,-6.1,,,,979.7,965.2,,32.0,,,16.0,250.0,,,W,0.0,0,,5.0
1989-09-22,-1.6,-3.8,,,,986.0,974.0,,40.0,,,16.0,270.0,,,W,0.2,T,,8.0
1989-09-23,-1.6,-6.1,,,,1017.7,986.0,,39.0,,,12.0,220.0,,,SW,0.0,0,,7.0
1989-09-24,0.6,-6.1,,,,1017.8,998.9,,41.0,,,8.0,10.0,,,N,0.5,1,,10.0
1989-09-25,0.0,-10.0,,,,1020.0,992.1,,59.0,,,14.0,360.0,,,N,0.1,T,,9.0
1989-09-26,1.7,-5.0,,,,1020.9,1006.4,,41.0,,,20.0,350.0,,,N,0.2,T,,10.0
1989-09-27,1.6,0.5,,,,1006.2,990.6,,,,,27.0,,,,N,0.2,T,,10.0
1989-09-28,1.6,-2.5,,,,1004.7,991.1,,,,,8.0,,,,SW,T,T,,7.0
1989-09-29,1.1,-3.3,,,,1006.8,1004.2,,,,,3.0,,,,SE,0.0,0,,7.0
1989-09-30,2.3,-5.5,,,,1004.1,989.9,,,,,23.0,,,,E,T,T,,7.0
1989-10-01,1.6,0.0,,,,990.0,984.9,,,,,10.0,,,,SE,T,T,,8.0
1989-10-02,1.7,0.3,,,,985.0,971.2,,,,,13.0,,,,NE,0.5,1,,6.0
1989-10-03,0.5,-1.1,,,,980.9,971.0,,,,,10.0,,,,S,3.5,4,,10.0
1989-10-04,2.7,-1.7,,,,973.0,959.8,,,,,28.0,,,,W,T,T,,10.0
1989-10-05,1.7,-1.6,,,,965.7,958.2,,,,,22.0,,,,SE,0.5,1,,10.0
1989-10-06,0.0,-1.4,,,,983.2,964.9,,,,,20.0,,,,W,9.0,9,,7.0
1989-10-07,1.7,-1.6,,,,984.1,963.3,,,,,31.0,,,,SW,5.0,1,,10.0
1989-10-08,2.2,-1.1,,,,982.6,963.7,,,,,13.0,,,,NW,0.0,0,,5.0
1989-10-09,0.0,-2.2,,,,983.8,981.8,,,,,6.0,,,,S,3.0,3,,7.0
1989-10-10,-1.1,-3.3,,,,1004.5,982.9,,,,,8.0,,,,W,T,T,,7.0
1989-10-11,1.1,-3.3,,,,1007.0,984.7,,,,,11.0,,,,NE,T,T,,10.0
1989-10-12,1.1,-1.8,,,,984.7,975.0,,,,,6.0,,,,SE,9.0,5,,10.0
1989-10-13,2.1,-3.6,,,,994.0,975.6,,,,,5.0,,,,S,8.0,2,,5.0
1989-10-14,1.8,-5.0,,,,994.4,979.4,,,,,12.0,,,,E,1.0,2,,10.0
1989-10-15,2.0,-3.0,,,,981.6,964.8,,,,,8.0,,,,S,11.0,9,,7.0
1989-10-16,-1.3,-4.2,,,,984.6,966.7,,,,,22.0,,,,S,T,T,,7.0
1989-10-17,-0.4,-3.7,,,,989.0,975.0,,,,,9.0,,,,S,1.0,1,,9.0
1989-10-18,1.7,-3.2,,,,982.2,973.8,,,,,13.0,,,,N,10.0,5,,9.0
1989-10-19,-1.7,-3.9,,,,992.0,979.4,,,,,15.0,,,,W,T,T,,10.0
1989-10-20,1.2,-4.3,,,,993.3,974.8,,34.0,,,12.0,270.0,,,W,T,T,,10.0
1989-10-21,4.6,-3.6,,,,990.5,973.9,,24.0,,,8.0,90.0,,,E,2.5,3,,7.0
1989-10-22,-1.1,-5.0,,,,1010.8,992.0,,36.0,,,27.0,250.0,,,SE,0.0,0,,10.0
1989-10-23,1.6,-4.7,,,,1012.5,998.6,,61.0,,,30.0,40.0,,,N,0.0,0,,10.0
1989-10-24,2.9,-3.3,,,,998.7,984.3,,65.0,,,42.0,40.0,,,NE,17.0,T,,10.0
1989-10-25,3.2,-2.1,,,,985.9,983.2,,50.0,,,28.0,20.0,,,NE,3.0,T,,10.0
1989-10-26,5.9,0.2,,,,989.4,984.2,,35.0,,,15.0,110.0,,,SE,0.0,0,,10.0
1989-10-27,7.8,1.7,,,,985.8,979.8,,41.0,,,25.0,140.0,,,SE,0.0,0,,9.0
1989-10-28,2.0,-3.1,,,,992.3,985.4,,21.0,,,17.0,290.0,,,W,0.0,0,,10.0
1989-10-29,2.3,-2.8,,,,995.4,992.3,,20.0,,,12.0,270.0,,,W,0.5,T,,10.0
1989-10-30,1.6,-0.5,,,,992.3,956.2,,52.0,,,30.0,10.0,,,N,5.3,3,,10.0
1989-10-31,0.0,-1.4,,,,983.9,961.0,,41.0,,,28.0,270.0,,,W,4.0,4,,10.0
1989-11-01,2.7,-2.6,,,,984.0,959.4,,47.0,,,15.0,40.0,,,W,T,T,,10.0
1989-11-02,1.7,-2.8,,,,959.3,950.1,,27.0,,,11.0,330.0,,,W,8.0,8,,9.0
1989-11-03,1.4,-3.7,,,,970.7,958.0,,38.0,,,13.0,50.0,,,N,T,T,,8.0
1989-11-04,1.7,-1.7,,,,970.1,966.2,,30.0,,,24.0,150.0,,,SE,0.0,0,,3.0
1989-11-05,2.9,-2.4,,,,1005.9,970.3,,26.0,,,8.0,40.0,,,NE,0.0,0,,7.0
1989-11-06,4.4,-0.3,,,,1005.9,999.0,,30.0,,,11.0,40.0,,,E,0.0,0,,8.0
1989-11-07,4.0,-2.5,,,,999.0,997.3,,10.0,,,5.0,170.0,,,W,T,T,,7.0
1989-11-08,5.0,-0.9,,,,1007.0,999.0,,22.0,,,7.0,360.0,,,N,1.0,1,,8.0
1989-11-09,3.7,-1.7,,,,1007.2,1003.7,,12.0,,,5.0,80.0,,,SE,T,0,,10.0
1989-11-10,6.7,-0.8,,,,1003.8,995.2,,30.0,,,11.0,70.0,,,SW,0.0,0,,9.0
1989-11-11,1.1,-0.8,,,,997.0,994.0,,13.0,,,6.0,270.0,,,W,T,0,,10.0
1989-11-12,3.4,-3.7,,,,996.9,978.3,,25.0,,,9.0,120.0,,,E,T,1,,9.0
1989-11-13,3.6,0.0,,,,978.5,974.1,,30.0,,,4.0,50.0,,,SE,5.6,5,,10.0
1989-11-14,4.0,0.2,,,,978.0,974.1,,18.0,,,7.0,40.0,,,S,0.0,0,,7.0
1989-11-15,1.1,-1.9,,,,981.6,977.9,,17.0,,,8.0,250.0,,,SW,T,1,,10.0
1989-11-16,0.1,-2.5,,,,981.9,979.7,,10.0,,,3.0,330.0,,,NW,0.0,0,,10.0
1989-11-17,2.8,-1.5,,,,979.7,972.2,,9.0,,,3.0,160.0,,,N,T,T,,8.0
1989-11-18,5.8,-1.1,,,,976.9,971.6,,26.0,,,14.0,110.0,,,E,0.0,0,,3.0
1989-11-19,4.6,-1.9,,,,976.9,968.0,,16.0,,,6.0,30.0,,,N,0.0,0,,5.0
1989-11-20,3.3,-1.8,,,,970.8,967.1,,15.0,,,6.0,30.0,,,N,T,T,,6.0
1989-11-21,3.8,-3.3,,,,976.0,970.8,,9.0,,,5.0,10.0,,,NE,0.0,0,,9.0
1989-11-22,3.9,-2.5,,,,979.5,975.9,,32.0,,,9.0,40.0,,,E,0.0,0,,7.0
